100,62816,62815,62813,62811,62809,62807
95,42144,42142,42141,42139,42138,42137
90,39759,39757,39755,39754,39752,39750
85,37604,37602,37601,37599,37597,37596
80,35974,35972,35970,35969,35967,35966
75,34592,34590,34589,34587,34586,34584
70,32976,32975,32973,32972,32970,32969
65,30631,30629,30628,30626,30625,30623
60,29296,29294,29293,29292,29290,29289
55,28013,28011,28010,28008,28007,28006
50,25349,25347,25346,25344,25343,25341
45,24924,24922,24921,24920,24919,24918
40,22362,22359,22358,22357,22356,22354
35,21328,21326,21324,21323,21322,21321
30,19419,19417,19416,19414,19413,19411
25,17733,17731,17730,17729,17728,17726
20,16756,16754,16753,16752,16751,16749
15,14693,14691,14689,14688,14686,14684
10,14424,14422,14420,14419,14418,14417
5,14002,14000,13999,13998,13996,13995
0,13140,13138,13136,13135,13134,13133
